host,sort,type,length,time,sigma
joe-arch-pc,mergesort,reversed,40,8.069000614341348e-06,2.147108525523658e-06
joe-arch-pc,mergesort,random,40,8.86899942997843e-06,2.2258991825393613e-06
joe-arch-pc,heapsort,sorted,40,8.264003554359078e-06,5.431123456799429e-06
joe-arch-pc,heapsort,median-killer,40,1.0003001079894602e-05,3.2930824909717963e-06
joe-arch-pc,heapsort,reversed,40,7.989998266566545e-06,2.5138123318129262e-06
joe-arch-pc,heapsort,random,40,9.470997611060739e-06,2.3694900412203134e-06
joe-arch-pc,quicksort,sorted,50,6.862996087875217e-06,7.65793374684919e-06
joe-arch-pc,quicksort,median-killer,50,9.26399661693722e-06,1.3244479700472368e-06
joe-arch-pc,quicksort,reversed,50,7.556998752988875e-06,2.3375053286110702e-06
joe-arch-pc,quicksort,random,50,9.020994184538722e-06,2.000535973088777e-06
joe-arch-pc,mergesort,sorted,50,6.884001777507365e-06,2.9248363747182915e-06
joe-arch-pc,mergesort,median-killer,50,9.088005754165351e-06,1.3720422288081876e-06
joe-arch-pc,mergesort,reversed,50,8.124996384140104e-06,2.3409167229292343e-06
joe-arch-pc,mergesort,random,50,9.344003046862781e-06,3.7573227781196458e-06
joe-arch-pc,heapsort,sorted,50,8.631999662611634e-06,4.158326199093479e-06
joe-arch-pc,heapsort,median-killer,50,1.063699892256409e-05,1.5081038729483329e-06
joe-arch-pc,heapsort,reversed,50,8.784998499322683e-06,2.404221439261992e-06
joe-arch-pc,heapsort,random,50,1.0160001693293452e-05,2.047523952221344e-06
joe-arch-pc,quicksort,sorted,60,6.827001925557852e-06,7.211152182599964e-06
joe-arch-pc,quicksort,median-killer,60,9.449002391193062e-06,1.4566497764339793e-06
joe-arch-pc,quicksort,reversed,60,7.706003088969737e-06,2.5727929901005974e-06
joe-arch-pc,quicksort,random,60,9.317001968156546e-06,2.1816584094268767e-06
joe-arch-pc,mergesort,sorted,60,7.055998139549047e-06,2.5835333790100983e-06
joe-arch-pc,mergesort,median-killer,60,9.228999260812998e-06,1.4562334585859773e-06
joe-arch-pc,mergesort,reversed,60,8.306997187901288e-06,5.82909815374743e-06
joe-arch-pc,mergesort,random,60,1.5018995327409357e-05,5.264415130874206e-06
joe-arch-pc,heapsort,sorted,60,9.353003406431526e-06,7.256625780278006e-06
joe-arch-pc,heapsort,median-killer,60,1.1121999705210328e-05,2.9882282285467813e-06
joe-arch-pc,heapsort,reversed,60,9.322997357230633e-06,2.4518723456975974e-06
joe-arch-pc,heapsort,random,60,1.0695999662857503e-05,3.6088059576774794e-06
joe-arch-pc,quicksort,sorted,70,6.990005203988403e-06,6.303986823037758e-06
joe-arch-pc,quicksort,median-killer,70,9.45699866861105e-06,1.2597223789338257e-06
joe-arch-pc,quicksort,reversed,70,7.777998689562082e-06,2.429319994420106e-06
joe-arch-pc,quicksort,random,70,9.577001037541777e-06,2.2688982925719007e-06
