host,sort,type,length,time,sigma
joe-arch-pc,quicksort,reversed,6000,0.0001474450036766939,1.7617146865360733e-06
joe-arch-pc,quicksort,random,6000,0.00046000500151421875,1.2516409635465658e-05
joe-arch-pc,mergesort,sorted,6000,0.00011315099982311949,3.1543972979151946e-06
joe-arch-pc,mergesort,median-killer,6000,0.00014684299821965396,1.2139121095234718e-06
joe-arch-pc,mergesort,reversed,6000,0.00018518100114306435,2.875844802023138e-06
joe-arch-pc,mergesort,random,6000,0.0005337549955584109,7.979781993678926e-05
joe-arch-pc,heapsort,sorted,6000,0.0005616409980575554,1.1721279932724004e-05
joe-arch-pc,heapsort,median-killer,6000,0.000603444997977931,1.0314934083588265e-05
joe-arch-pc,heapsort,reversed,6000,0.0005561579964705743,5.557450817255413e-06
joe-arch-pc,heapsort,random,6000,0.0007028420004644431,1.4144725557921351e-05
joe-arch-pc,quicksort,sorted,7000,0.00010041000496130437,4.781212257402505e-06
joe-arch-pc,quicksort,median-killer,7000,0.0002605599947855808,1.1895706617228912e-05
joe-arch-pc,quicksort,reversed,7000,0.00016583700198680162,8.804564759617358e-06
joe-arch-pc,quicksort,random,7000,0.0005505099979927763,1.7164697724380476e-06
joe-arch-pc,mergesort,sorted,7000,0.00012839100236305967,6.309624119198629e-06
joe-arch-pc,mergesort,median-killer,7000,0.00016329400386894122,3.1882050980974625e-06
joe-arch-pc,mergesort,reversed,7000,0.00023384900123346597,1.0346112455566147e-05
joe-arch-pc,mergesort,random,7000,0.0006235999971977435,1.2144298313061044e-05
joe-arch-pc,heapsort,sorted,7000,0.0006624809975619428,8.84372355916471e-06
joe-arch-pc,heapsort,median-killer,7000,0.0007079770002746955,9.624513942552542e-06
joe-arch-pc,heapsort,reversed,7000,0.0006571630001417361,3.960389217989258e-06
joe-arch-pc,heapsort,random,7000,0.0008382360028917901,3.5588689147134512e-06
joe-arch-pc,quicksort,sorted,8000,0.00011367499973857775,6.684207375149674e-06
joe-arch-pc,quicksort,median-killer,8000,0.00029744500352535397,2.0582945840396654e-06
joe-arch-pc,quicksort,reversed,8000,0.00019139899814035743,2.2236907052113267e-06
joe-arch-pc,quicksort,random,8000,0.0006357989987009205,1.9306160238870574e-06
joe-arch-pc,mergesort,sorted,8000,0.0001453239965485409,2.9560861322274813e-06
joe-arch-pc,mergesort,median-killer,8000,0.00018833200010703877,2.2092646197199728e-06
joe-arch-pc,mergesort,reversed,8000,0.0002867400035029277,6.33343401093224e-06
joe-arch-pc,mergesort,random,8000,0.0007157929940149188,4.4398288226316e-06
joe-arch-pc,heapsort,sorted,8000,0.0007576549978693947,3.981324632578431e-06
joe-arch-pc,heapsort,median-killer,8000,0.0008224760022130795,7.44998395564477e-06
joe-arch-pc,heapsort,reversed,8000,0.0007619579992024228,3.759285026715774e-06
joe-arch-pc,heapsort,random,8000,0.0009719230001792312,2.5819175175820326e-05
joe-arch-pc,quicksort,sorted,9000,0.0001344800039078109,5.65322943140407e-06
joe-arch-pc,quicksort,median-killer,9000,0.00033884699951158836,2.4010102084207273e-06
joe-arch-pc,quicksort,reversed,9000,0.0002113090013153851,2.201646938638408e-06
joe-arch-pc,quicksort,random,9000,0.0007188450035755523,3.337583985791295e-06
joe-arch-pc,mergesort,sorted,9000,0.00016087100084405392,6.340907275360259e-06
joe-arch-pc,mergesort,median-killer,9000,0.00020710600074380636,3.4954382432611262e-06
joe-arch-pc,mergesort,reversed,9000,0.0003420979992370121,1.166686642681768e-05
joe-arch-pc,mergesort,random,9000,0.0008099529950413853,1.3956763032112588e-05
joe-arch-pc,heapsort,sorted,9000,0.0008636600032332353,1.2761752665171301e-05
joe-arch-pc,heapsort,median-killer,9000,0.0009340640026493929,2.4379489833909092e-05
joe-arch-pc,heapsort,reversed,9000,0.0008643350010970607,5.66452395897723e-06
joe-arch-pc,heapsort,random,9000,0.0011033649934688583,1.0226129250399712e-05
joe-arch-pc,quicksort,sorted,10000,0.0001442380016669631,6.088321114131825e-06
joe-arch-pc,quicksort,median-killer,10000,0.00038432099972851574,4.3340390302653736e-06
joe-arch-pc,quicksort,reversed,10000,0.00025380199804203585,4.276052539786659e-06
joe-arch-pc,quicksort,random,10000,0.0008132310031214729,4.179465801591512e-05
joe-arch-pc,mergesort,sorted,10000,0.00017655600095167756,4.53100506541307e-06
joe-arch-pc,mergesort,median-killer,10000,0.00022790200455347076,1.1558952859392702e-05
joe-arch-pc,mergesort,reversed,10000,0.0003976139996666461,9.385501271985598e-06
joe-arch-pc,mergesort,random,10000,0.0009068180006579496,1.670693586742329e-05
joe-arch-pc,heapsort,sorted,10000,0.0009707659992272966,9.895052722693959e-06
joe-arch-pc,heapsort,median-killer,10000,0.0010471860005054623,7.792076666280997e-06
joe-arch-pc,heapsort,reversed,10000,0.000967815998592414,1.0715151093373957e-05
joe-arch-pc,heapsort,random,10000,0.0012442280058166943,1.9839381055378655e-05
joe-arch-pc,quicksort,sorted,20000,0.00030137900466797873,2.474353077632291e-05
joe-arch-pc,quicksort,median-killer,20000,0.0008153880044119433,8.93781380982943e-05
joe-arch-pc,quicksort,reversed,20000,0.0005327629987732507,1.5150934835688808e-05
joe-arch-pc,quicksort,random,20000,0.0017208860008395277,2.2442187841171043e-05
joe-arch-pc,mergesort,sorted,20000,0.0003735899954335764,6.111173004864544e-06
joe-arch-pc,mergesort,median-killer,20000,0.0004866070012212731,0.00012309499257990303
joe-arch-pc,mergesort,reversed,20000,0.0008271940023405477,2.075809635630299e-05
joe-arch-pc,mergesort,random,20000,0.0019458480019238777,1.6023221068039494e-05
joe-arch-pc,heapsort,sorted,20000,0.0020275369970477186,0.0002091941547120691
joe-arch-pc,heapsort,median-killer,20000,0.0022318139963317662,0.00058100694654426
joe-arch-pc,heapsort,reversed,20000,0.002034115001151804,1.4319819798939677e-05
joe-arch-pc,heapsort,random,20000,0.0026790519987116568,1.865142790109745e-05
joe-arch-pc,quicksort,sorted,30000,0.0004528900026343763,1.177916782444833e-05
joe-arch-pc,quicksort,median-killer,30000,0.0012606410018634051,2.261667494394544e-05
joe-arch-pc,quicksort,reversed,30000,0.0008094310032902285,1.1514531324503988e-05
joe-arch-pc,quicksort,random,30000,0.002705391998460982,4.8300143059996244e-05
joe-arch-pc,mergesort,sorted,30000,0.0006203160010045394,1.0477348026961611e-05
joe-arch-pc,mergesort,median-killer,30000,0.0007673060026718304,5.827550648776636e-06
joe-arch-pc,mergesort,reversed,30000,0.0011335730014252476,4.573986675746865e-05
joe-arch-pc,mergesort,random,30000,0.0031102409993764013,6.255489322281595e-05
joe-arch-pc,heapsort,sorted,30000,0.0031247500010067597,9.073289958461598e-05
joe-arch-pc,heapsort,median-killer,30000,0.0034834589969250374,4.669923900645893e-05
joe-arch-pc,heapsort,reversed,30000,0.00315464199957205,0.00016152804257484787
joe-arch-pc,heapsort,random,30000,0.004231464998156298,6.314103425589395e-05
joe-arch-pc,quicksort,sorted,40000,0.0006287989963311702,2.283868275892085e-05
joe-arch-pc,quicksort,median-killer,40000,0.0017617630001041107,1.539082738292667e-05
joe-arch-pc,quicksort,reversed,40000,0.0011310999980196357,7.896384367100981e-05
joe-arch-pc,quicksort,random,40000,0.0037273560010362417,1.8556352280567256e-05
joe-arch-pc,mergesort,sorted,40000,0.0007952099986141548,1.8267359670293836e-05
joe-arch-pc,mergesort,median-killer,40000,0.001028558996040374,2.1110038120598037e-05
joe-arch-pc,mergesort,reversed,40000,0.0017318230020464398,1.4336112296190258e-05
joe-arch-pc,mergesort,random,40000,0.004195434994471725,7.788824651254269e-05
joe-arch-pc,heapsort,sorted,40000,0.004234864005411509,0.00014251994594251157
joe-arch-pc,heapsort,median-killer,40000,0.004748259998450521,0.00012775652636849816
joe-arch-pc,heapsort,reversed,40000,0.004288718999305274,0.0003132411146872994
joe-arch-pc,heapsort,random,40000,0.005842911996296607,0.0002870491421858125
joe-arch-pc,quicksort,sorted,50000,0.0008136539981933311,2.974752738621949e-05
joe-arch-pc,quicksort,median-killer,50000,0.002251278994663153,0.00018276598196175073
joe-arch-pc,quicksort,reversed,50000,0.001442531000066083,0.00012080507231437157
joe-arch-pc,quicksort,random,50000,0.004722132005554158,5.319175391159295e-05
joe-arch-pc,mergesort,sorted,50000,0.0010819070012075827,3.170738391470033e-05
joe-arch-pc,mergesort,median-killer,50000,0.0013519760032068007,0.0002896488114273275
joe-arch-pc,mergesort,reversed,50000,0.0019073639996349812,0.00014055045914175218
joe-arch-pc,mergesort,random,50000,0.005555923999054357,0.00015473268190575626
joe-arch-pc,heapsort,sorted,50000,0.005356979003408924,0.00031135369708992067
joe-arch-pc,heapsort,median-killer,50000,0.006117794000601862,5.8963733928424854e-05
joe-arch-pc,heapsort,reversed,50000,0.005449093994684517,6.500516871708573e-05
joe-arch-pc,heapsort,random,50000,0.00756943499436602,8.843308204386534e-05
joe-arch-pc,quicksort,sorted,60000,0.0009502450047875755,2.7124717579500757e-05
joe-arch-pc,quicksort,median-killer,60000,0.0027114849945064634,1.969890483158799e-05
joe-arch-pc,quicksort,reversed,60000,0.0017086209991248325,1.524360147471174e-05
joe-arch-pc,quicksort,random,60000,0.005822566999995615,0.0001461352292497342
joe-arch-pc,mergesort,sorted,60000,0.0013072340007056482,2.3070582366193963e-05
joe-arch-pc,mergesort,median-killer,60000,0.001612171996384859,9.3739807081074e-05
joe-arch-pc,mergesort,reversed,60000,0.0023810729981050827,3.8405052396477005e-05
joe-arch-pc,mergesort,random,60000,0.006647342001087964,8.282692673777305e-05
joe-arch-pc,heapsort,sorted,60000,0.006491660999017768,4.620351174588997e-05
joe-arch-pc,heapsort,median-killer,60000,0.007488073002605233,0.00011349444008552913
joe-arch-pc,heapsort,reversed,60000,0.006661999999778345,0.00013203746272001464
joe-arch-pc,heapsort,random,60000,0.00928043200110551,9.212578221277599e-05
joe-arch-pc,quicksort,sorted,70000,0.0011106880047009327,5.670699996451058e-05
joe-arch-pc,quicksort,median-killer,70000,0.0032086889987112954,9.842048693823428e-05
joe-arch-pc,quicksort,reversed,70000,0.0019304230008856393,2.0833921749373194e-05
joe-arch-pc,quicksort,random,70000,0.006852393998997286,0.0002333598039674147
joe-arch-pc,mergesort,sorted,70000,0.0014894979976816103,4.305581829381461e-05
joe-arch-pc,mergesort,median-killer,70000,0.0018830970002454706,0.00016691032113091034
joe-arch-pc,mergesort,reversed,70000,0.0028832010066253133,0.00024344408405090813
joe-arch-pc,mergesort,random,70000,0.007836626005882863,0.00011442443004939834
joe-arch-pc,heapsort,sorted,70000,0.0075961749971611425,0.00011525266364904287
joe-arch-pc,heapsort,median-killer,70000,0.00879054400138557,0.0001408781871504157
joe-arch-pc,heapsort,reversed,70000,0.007909643005405087,0.00020468226392792577
joe-arch-pc,heapsort,random,70000,0.011112214000604581,2.446854346586419e-05
joe-arch-pc,quicksort,sorted,80000,0.0013771520025329664,2.142046043552957e-05
joe-arch-pc,quicksort,median-killer,80000,0.003737484999874141,0.0001280324455482771
joe-arch-pc,quicksort,reversed,80000,0.0023696319985901937,1.4315030385345586e-05
joe-arch-pc,quicksort,random,80000,0.007966867997311056,0.0002145832903104869
joe-arch-pc,mergesort,sorted,80000,0.0017645240004640073,1.8266711927293238e-05
joe-arch-pc,mergesort,median-killer,80000,0.0022173529941937886,0.0004074401963183806
joe-arch-pc,mergesort,reversed,80000,0.003640360002464149,0.0001623604163883101
joe-arch-pc,mergesort,random,80000,0.009049521999259014,6.428600093463125e-05
joe-arch-pc,heapsort,sorted,80000,0.008809588995063677,0.00019658309013254605
joe-arch-pc,heapsort,median-killer,80000,0.010269275997416116,0.0002491544564708887
joe-arch-pc,heapsort,reversed,80000,0.00941275899822358,0.0012586070041556974
joe-arch-pc,heapsort,random,80000,0.013065719002042897,0.00032046935143216157
joe-arch-pc,quicksort,sorted,90000,0.0016073180013336241,0.0002153170274539781
joe-arch-pc,quicksort,median-killer,90000,0.0043269189991406165,0.0010166205307945782
joe-arch-pc,quicksort,reversed,90000,0.0041465289978077635,0.00025833893408296505
joe-arch-pc,quicksort,random,90000,0.009333841000625398,0.0007226822859816107
joe-arch-pc,mergesort,sorted,90000,0.0021821010013809428,7.697214146938766e-05
joe-arch-pc,mergesort,median-killer,90000,0.0026298320008208975,0.001026804325850939
joe-arch-pc,mergesort,reversed,90000,0.0036668909961008467,0.0006448179218421829
joe-arch-pc,mergesort,random,90000,0.011019146004400682,0.0010222660018869149
joe-arch-pc,heapsort,sorted,90000,0.010010607002186589,0.0013348752987147046
joe-arch-pc,heapsort,median-killer,90000,0.011785064001742285,0.0006312460153407521
joe-arch-pc,heapsort,reversed,90000,0.010279928996169474,0.0002626068808733242
joe-arch-pc,heapsort,random,90000,0.014805111000896432,8.126342296129142e-05
joe-arch-pc,quicksort,sorted,100000,0.001808736997190863,4.0499517277871266e-05
joe-arch-pc,quicksort,median-killer,100000,0.004889167001238093,0.0002553363011659631
joe-arch-pc,quicksort,reversed,100000,0.003036242000234779,0.00020859707514059525
joe-arch-pc,quicksort,random,100000,0.010156145996006671,0.0002041578718717894
joe-arch-pc,mergesort,sorted,100000,0.002422199002467096,0.00021671580101819638
joe-arch-pc,mergesort,median-killer,100000,0.002965658000903204,0.00045881708562499454
joe-arch-pc,mergesort,reversed,100000,0.004020854001282714,0.00023848219100245445
joe-arch-pc,mergesort,random,100000,0.01190254100220045,0.0001453100399988209
joe-arch-pc,heapsort,sorted,100000,0.011223227993468754,0.00018421737749210024
joe-arch-pc,heapsort,median-killer,100000,0.013171008002245799,7.111861822668446e-05
joe-arch-pc,heapsort,reversed,100000,0.011610508998273872,0.000611125266478535
joe-arch-pc,heapsort,random,100000,0.01676731600309722,0.00019893352208827283
joe-arch-pc,quicksort,sorted,200000,0.004351540999778081,0.00019600956681726825
joe-arch-pc,quicksort,median-killer,200000,0.010632097997586243,0.0023145488951171475
joe-arch-pc,quicksort,reversed,200000,0.007126463002350647,0.0003180659862552285
joe-arch-pc,quicksort,random,200000,0.022236687000258826,8.719028049582357e-05
joe-arch-pc,mergesort,sorted,200000,0.0061447949992725626,0.0002833674549387114
joe-arch-pc,mergesort,median-killer,200000,0.006467781000537798,0.0008678647670053479
joe-arch-pc,mergesort,reversed,200000,0.009483472997089848,5.2276018923356547e-05
joe-arch-pc,mergesort,random,200000,0.026364258003013674,0.00016096206341475487
joe-arch-pc,heapsort,sorted,200000,0.02423317399370717,0.00014810218528261258
joe-arch-pc,heapsort,median-killer,200000,0.028180417000839952,0.001145714931962818
joe-arch-pc,heapsort,reversed,200000,0.024851665999449324,0.00024028314221177818
joe-arch-pc,heapsort,random,200000,0.037751359996036626,0.0003037942193441417
joe-arch-pc,quicksort,sorted,300000,0.007172679994255304,0.0002448738373112437
joe-arch-pc,quicksort,median-killer,300000,0.016667331001372077,0.0001825539504588331
joe-arch-pc,quicksort,reversed,300000,0.010159570003452245,0.00015213621918605525
joe-arch-pc,quicksort,random,300000,0.03442907000135165,0.00012203140941837549
joe-arch-pc,mergesort,sorted,300000,0.009167937998427078,5.383873299281189e-05
joe-arch-pc,mergesort,median-killer,300000,0.00982422100059921,0.00010867075243618096
joe-arch-pc,mergesort,reversed,300000,0.016503319995536003,0.00014265377577593364
joe-arch-pc,mergesort,random,300000,0.040040290004981216,0.0001454973091105236
joe-arch-pc,heapsort,sorted,300000,0.036842002999037504,0.0002747423463520666
joe-arch-pc,heapsort,median-killer,300000,0.0437311689966009,0.00035521719797828677
joe-arch-pc,heapsort,reversed,300000,0.03806705500028329,0.0004393707249448827
joe-arch-pc,heapsort,random,300000,0.05858635299955495,0.0014954419563388975
joe-arch-pc,quicksort,sorted,400000,0.010031063000496943,0.0001883143360015819
joe-arch-pc,quicksort,median-killer,400000,0.022892001004947815,0.00014936404683249226
joe-arch-pc,quicksort,reversed,400000,0.015414687994052656,0.00017941540969792347
joe-arch-pc,quicksort,random,400000,0.04750157200032845,0.0010286117444875229
joe-arch-pc,mergesort,sorted,400000,0.013552270997024607,0.001014587783882562
joe-arch-pc,mergesort,median-killer,400000,0.01392811699770391,0.0002896605627530885
joe-arch-pc,mergesort,reversed,400000,0.020536459000140894,0.00019536636705093152
joe-arch-pc,mergesort,random,400000,0.0567892050021328,0.0003597831088485785
joe-arch-pc,heapsort,sorted,400000,0.05170181400171714,0.00010217895885455735
joe-arch-pc,heapsort,median-killer,400000,0.06056581199663924,0.00037370349631118445
joe-arch-pc,heapsort,reversed,400000,0.05297124999924563,0.0026179497180547516
joe-arch-pc,heapsort,random,400000,0.08720499199989717,0.0016836551287921124
joe-arch-pc,quicksort,sorted,500000,0.012161284998001065,9.2441320204186e-05
joe-arch-pc,quicksort,median-killer,500000,0.02885967200563755,0.0003752063336010309
joe-arch-pc,quicksort,reversed,500000,0.01847748000000138,0.0006201531146384083
joe-arch-pc,quicksort,random,500000,0.059986077998473775,7.338369866796498e-05
joe-arch-pc,mergesort,sorted,500000,0.01675273500586627,0.00016847175295238223
joe-arch-pc,mergesort,median-killer,500000,0.018155565005145036,0.0001988807859391126
joe-arch-pc,mergesort,reversed,500000,0.027111807001347188,0.00030012948566617736
joe-arch-pc,mergesort,random,500000,0.07075592999899527,0.0003567672455757007
joe-arch-pc,heapsort,sorted,500000,0.0650939240003936,0.00012870068825063992
joe-arch-pc,heapsort,median-killer,500000,0.07845349900162546,0.0006683882019424958
joe-arch-pc,heapsort,reversed,500000,0.0676396199996816,0.002276515208568628
joe-arch-pc,heapsort,random,500000,0.11218538899993291,0.0016443533607288948
joe-arch-pc,quicksort,sorted,600000,0.015878496997174807,0.00030253072310657485
joe-arch-pc,quicksort,median-killer,600000,0.03588571999716805,0.00033609764632325175
joe-arch-pc,quicksort,reversed,600000,0.021850397999514826,0.0005094096653578355
joe-arch-pc,quicksort,random,600000,0.07367658500152174,0.00297532970914704
joe-arch-pc,mergesort,sorted,600000,0.02058131199737545,0.0002517723150148352
joe-arch-pc,mergesort,median-killer,600000,0.021408061002148315,0.00038012840700727394
joe-arch-pc,mergesort,reversed,600000,0.035564580000936985,0.001160382392897966
joe-arch-pc,mergesort,random,600000,0.08630299200012814,0.0022657175975894
joe-arch-pc,heapsort,sorted,600000,0.07985452600405551,0.00028623394191974
joe-arch-pc,heapsort,median-killer,600000,0.09739954600081546,0.0007555457817993757
joe-arch-pc,heapsort,reversed,600000,0.08463805499923183,0.001906663092821174
joe-arch-pc,heapsort,random,600000,0.14485903499735286,0.0008858674429197181
joe-arch-pc,quicksort,sorted,700000,0.017663938997429796,0.0003002871193564081
joe-arch-pc,quicksort,median-killer,700000,0.0429536689989618,0.0003352163191782658
joe-arch-pc,quicksort,reversed,700000,0.027698507001332473,0.0003522658935775728
joe-arch-pc,quicksort,random,700000,0.08648610200179974,0.00022938442347296867
joe-arch-pc,mergesort,sorted,700000,0.02525547000550432,0.00045734094070149146
joe-arch-pc,mergesort,median-killer,700000,0.026673371001379564,0.0004053414145051584
joe-arch-pc,mergesort,reversed,700000,0.033956858998863026,0.0004593695077097852
joe-arch-pc,mergesort,random,700000,0.1033443950000219,0.0006605862346087213
joe-arch-pc,heapsort,sorted,700000,0.09350103700126056,0.0004899754866874577
joe-arch-pc,heapsort,median-killer,700000,0.1152027940042899,0.0005511557781551931
joe-arch-pc,heapsort,reversed,700000,0.09784309600217966,0.0002431037155186714
joe-arch-pc,heapsort,random,700000,0.17635697399964556,0.0009410232526228455
joe-arch-pc,quicksort,sorted,800000,0.020588352999766357,0.0002240897224846229
joe-arch-pc,quicksort,median-killer,800000,0.05005011700268369,0.00044659970710930524
joe-arch-pc,quicksort,reversed,800000,0.03165705599531066,0.0004700902719839804
joe-arch-pc,quicksort,random,800000,0.10011924100399483,0.0006760338156353284
joe-arch-pc,mergesort,sorted,800000,0.028268667003430892,0.00046132708155700527
joe-arch-pc,mergesort,median-killer,800000,0.030064926999330055,0.0008835604940359905
joe-arch-pc,mergesort,reversed,800000,0.043378026006394066,0.0007405944045780101
joe-arch-pc,mergesort,random,800000,0.11851658099476481,0.00022672246886048955
joe-arch-pc,heapsort,sorted,800000,0.10744483099551871,0.0008847346887516492
joe-arch-pc,heapsort,median-killer,800000,0.1335629540044465,0.0018888607311762923
joe-arch-pc,heapsort,reversed,800000,0.11224996300006751,0.0006005492972119405
joe-arch-pc,heapsort,random,800000,0.2117324139981065,0.006811531722032073
joe-arch-pc,quicksort,sorted,900000,0.023508245998527855,0.0007470139653920757
joe-arch-pc,quicksort,median-killer,900000,0.058475296005781274,0.0026544644881289566
joe-arch-pc,quicksort,reversed,900000,0.035788376997516025,0.0010486268378755946
joe-arch-pc,quicksort,random,900000,0.11340507300337777,0.0004561108317479468
joe-arch-pc,mergesort,sorted,900000,0.032280037994496524,0.00044699233575814167
joe-arch-pc,mergesort,median-killer,900000,0.03435955000168178,0.0004140349668595353
joe-arch-pc,mergesort,reversed,900000,0.04977761900227051,0.0008188865079720457
joe-arch-pc,mergesort,random,900000,0.13405657299881568,0.002072819368619621
joe-arch-pc,heapsort,sorted,900000,0.12232874999608612,0.002366881602592362
joe-arch-pc,heapsort,median-killer,900000,0.15409867899870733,0.00048620451288404335
joe-arch-pc,heapsort,reversed,900000,0.1284505209987401,0.0006152770216365112
joe-arch-pc,heapsort,random,900000,0.24777127800189191,0.0024359159868057793
joe-arch-pc,quicksort,sorted,1000000,0.025253653002437204,0.0004887316334901168
joe-arch-pc,quicksort,median-killer,1000000,0.06616419799684081,0.0005910360000550076
joe-arch-pc,quicksort,reversed,1000000,0.03954844300460536,0.0006607881580176986
joe-arch-pc,quicksort,random,1000000,0.12573982500180136,0.00011901286891174459
joe-arch-pc,mergesort,sorted,1000000,0.03565364699898055,0.00044901355590773917
joe-arch-pc,mergesort,median-killer,1000000,0.0385637789950124,0.0006666740615743153
joe-arch-pc,mergesort,reversed,1000000,0.05738587700034259,0.0008548537307932844
joe-arch-pc,mergesort,random,1000000,0.14955856200685957,0.0019635217775812587
joe-arch-pc,heapsort,sorted,1000000,0.13585079999757,0.0007206131031571272
joe-arch-pc,heapsort,median-killer,1000000,0.1719552379945526,0.0013996706864454892
joe-arch-pc,heapsort,reversed,1000000,0.14359742699889466,0.0004701157564876781
joe-arch-pc,heapsort,random,1000000,0.28255254100076854,0.0011490787694135027
joe-arch-pc,quicksort,sorted,2000000,0.0529423219995806,0.0001917934661044924
joe-arch-pc,quicksort,median-killer,2000000,0.14378150099946652,0.000582417598796109
joe-arch-pc,quicksort,reversed,2000000,0.08275769899773877,0.0010591299478917068
joe-arch-pc,quicksort,random,2000000,0.2636767720032367,0.0003921787453204559
joe-arch-pc,mergesort,sorted,2000000,0.0757095590015524,0.0003974813524556426
joe-arch-pc,mergesort,median-killer,2000000,0.08315402200241806,0.0004014660085154422
joe-arch-pc,mergesort,reversed,2000000,0.12259762099711224,0.0012783062414478703
joe-arch-pc,mergesort,random,2000000,0.31517384800099535,0.0005768121858442781
joe-arch-pc,heapsort,sorted,2000000,0.280604637999204,0.0018381330009853384
joe-arch-pc,heapsort,median-killer,2000000,0.3731246969982749,0.0015590707817233367
joe-arch-pc,heapsort,reversed,2000000,0.3027753999995184,0.0008615039261601682
joe-arch-pc,heapsort,random,2000000,0.6912990199998603,0.0023792124878360926
joe-arch-pc,quicksort,sorted,3000000,0.08296021600108361,0.0008306208195022325
joe-arch-pc,quicksort,median-killer,3000000,0.2301148960032151,0.0016960430482785129
joe-arch-pc,quicksort,reversed,3000000,0.13078949899500003,0.0012604711270355377
joe-arch-pc,quicksort,random,3000000,0.40869047199521447,0.0008775344229917639
joe-arch-pc,mergesort,sorted,3000000,0.12031078699510545,0.0010281585223392005
joe-arch-pc,mergesort,median-killer,3000000,0.13096771699929377,0.0006547117061141285
joe-arch-pc,mergesort,reversed,3000000,0.1729118209987064,0.001337418885225165
joe-arch-pc,mergesort,random,3000000,0.4926120809977874,0.00162628342540884
joe-arch-pc,heapsort,sorted,3000000,0.44049280200124485,0.02165763554740453
joe-arch-pc,heapsort,median-killer,3000000,0.5796286010008771,0.014135993366971937
joe-arch-pc,heapsort,reversed,3000000,0.47184202300559264,0.01330093107879182
joe-arch-pc,heapsort,random,3000000,1.2116617749998113,0.00996711905676401
joe-arch-pc,quicksort,sorted,4000000,0.11304310799459927,0.0007861665572313477
joe-arch-pc,quicksort,median-killer,4000000,0.32483979999960866,0.006920350998104087
joe-arch-pc,quicksort,reversed,4000000,0.1813842370029306,0.0015196207059234895
joe-arch-pc,quicksort,random,4000000,0.5579553889983799,0.01223591822331352
joe-arch-pc,mergesort,sorted,4000000,0.17195707600330934,0.0042297461290082584
joe-arch-pc,mergesort,median-killer,4000000,0.18934352199721616,0.0030516508100825795
joe-arch-pc,mergesort,reversed,4000000,0.26282294600241585,0.00574421482341624
joe-arch-pc,mergesort,random,4000000,0.6737229970021872,0.007539376323055897
joe-arch-pc,heapsort,sorted,4000000,0.5967681429974618,0.0086546546131634
joe-arch-pc,heapsort,median-killer,4000000,0.8081984649979859,0.0033734420040160856
joe-arch-pc,heapsort,reversed,4000000,0.6497497119999025,0.009564855143438663
joe-arch-pc,heapsort,random,4000000,1.722794547000376,0.02620604414099445
joe-arch-pc,quicksort,sorted,5000000,0.14693832700140774,0.0008046436991446607
joe-arch-pc,quicksort,median-killer,5000000,0.41535499900055584,0.010153361842500505
joe-arch-pc,quicksort,reversed,5000000,0.22719501899700845,0.002654745205691576
joe-arch-pc,quicksort,random,5000000,0.70128295700124,0.007248883075768042
joe-arch-pc,mergesort,sorted,5000000,0.20537896099995123,0.0031837987019199816
joe-arch-pc,mergesort,median-killer,5000000,0.23103346599964425,0.010965088334622373
joe-arch-pc,mergesort,reversed,5000000,0.35716429199965205,0.0027014747564878525
joe-arch-pc,mergesort,random,5000000,0.8404444660045556,0.004813649229705325
joe-arch-pc,heapsort,sorted,5000000,0.7485478829985368,0.002772694289202021
joe-arch-pc,heapsort,median-killer,5000000,1.0095811999999569,0.015445596509715871
joe-arch-pc,heapsort,reversed,5000000,0.8124192510003923,0.009956564100074517
joe-arch-pc,heapsort,random,5000000,2.1024202299959143,0.022192152051200894
joe-arch-pc,quicksort,sorted,6000000,0.1737472470049397,0.003433805715973737
joe-arch-pc,quicksort,median-killer,6000000,0.5036397019939614,0.015951605788626425
joe-arch-pc,quicksort,reversed,6000000,0.2873628430024837,0.0033067907662602297
joe-arch-pc,quicksort,random,6000000,0.8562724309958867,0.0007842493930907872
joe-arch-pc,mergesort,sorted,6000000,0.2547596610020264,0.011165127888030573
joe-arch-pc,mergesort,median-killer,6000000,0.28385933300160104,0.019565023254481055
joe-arch-pc,mergesort,reversed,6000000,0.3621827579991077,0.026315077812516543
joe-arch-pc,mergesort,random,6000000,1.024042199998803,0.018102481200385365
joe-arch-pc,heapsort,sorted,6000000,0.8912255030008964,0.008793505992223297
joe-arch-pc,heapsort,median-killer,6000000,1.245643355003267,0.03530658307520418
joe-arch-pc,heapsort,reversed,6000000,1.0511873540017405,0.02876464707049032
joe-arch-pc,heapsort,random,6000000,2.831255129996862,0.04364615359780003
joe-arch-pc,quicksort,sorted,7000000,0.21161709599982714,0.007307790365813459
joe-arch-pc,quicksort,median-killer,7000000,0.6105089220000082,0.01828099743040791
joe-arch-pc,quicksort,reversed,7000000,0.3475003510029637,0.002679910674219811
joe-arch-pc,quicksort,random,7000000,1.023772344997269,0.007782903403642054
joe-arch-pc,mergesort,sorted,7000000,0.3194171850045677,0.006339444801131785
joe-arch-pc,mergesort,median-killer,7000000,0.3634899429962388,0.008948877676477984
joe-arch-pc,mergesort,reversed,7000000,0.49892973199894186,0.0038263445537010153
joe-arch-pc,mergesort,random,7000000,1.2395000430042273,0.0076762400281222155
joe-arch-pc,heapsort,sorted,7000000,1.1022859290023916,0.021233081335076433
joe-arch-pc,heapsort,median-killer,7000000,1.5425831210013712,0.022753281525055423
